d_H_ws, d_H_err_ws, d_H, d_H_err,size_min,size_max,n_sizes,,,,
3.897,0.484,3.847,0.307,50,500,10,,,,
4.176,0.336,4.368,0.2,50,500,10,,,,
4.452,0.464,3.979,0.313,50,500,10,,,,
4.054,0.392,4.046,0.278,50,500,10,,,,
4.416,0.366,4.203,0.244,50,500,10,,,,
4.474,0.545,4.142,0.312,50,500,10,,,,
3.991,0.388,3.894,0.254,50,500,10,,,,
4.781,0.286,4.147,0.266,50,500,10,,,,
4.019,0.259,4.294,0.249,50,500,10,,,,
4.284,0.329,4.201,0.229,50,500,10,,,,
3.931,0.424,3.719,0.252,50,500,10,,,,
4.002,0.218,4.166,0.25,50,500,10,,,,
4.192,0.208,4.22,0.231,50,500,10,,,,
4.327,0.508,4.144,0.307,50,500,10,,,,
4.175,0.174,4.049,0.165,50,500,10,,,,
4.34,0.331,4.066,0.203,50,500,10,,,,
4.361,0.411,4.436,0.3,50,500,10,,,,
4.246,0.498,4.199,0.308,50,500,10,,,,
4.136,0.372,3.949,0.201,50,500,10,,,,
3.923,0.362,4.204,0.343,50,500,10,,,,
4.223,0.356,4.024,0.204,50,500,10,,,,
3.35,0.278,3.866,0.306,50,500,10,,,,
4.175,0.384,4.055,0.231,50,500,10,,,,
3.772,0.142,3.766,0.154,50,500,10,,,,
4.018,0.288,4.216,0.212,50,500,10,,,,
4.131,0.372,4.326,0.476,100,500,10,,,,
3.183,0.334,3.42,0.276,100,500,10,,,,
4.841,0.581,4.674,0.428,100,500,10,,,,
3.958,0.459,3.946,0.364,100,500,10,,,,
4.856,0.606,4.607,0.432,100,500,10,,,,
3.809,0.393,4.108,0.37,100,500,10,,,,
4.713,0.696,4.024,0.451,100,500,10,,,,
3.605,0.312,3.722,0.188,100,500,10,,,,
3.992,0.482,4.017,0.35,100,500,10,,,,
4.432,0.438,4.183,0.446,100,500,10,,,,
3.868,0.322,3.778,0.277,100,500,10,,,,
4.177,0.491,4.237,0.409,100,500,10,,,,
4.289,0.489,4.031,0.463,100,500,10,,,,
3.687,0.363,3.746,0.341,100,500,10,,,,
4.611,0.456,4.253,0.322,100,500,10,,,,
3.722,0.487,3.781,0.345,100,500,10,,,,
3.9,0.302,3.697,0.202,100,500,10,,,,
3.66,0.307,4.19,0.314,100,500,10,,,,
4.294,0.541,4.028,0.436,100,500,10,,,,
3.416,0.258,3.503,0.201,100,500,10,,,,
4.266,0.417,4.115,0.373,100,500,10,,,,
3.444,0.336,3.821,0.334,100,500,10,,,,
3.844,0.342,3.771,0.243,100,500,10,,,,
4.049,0.672,3.834,0.441,100,500,10,,,,
3.635,0.328,3.732,0.272,100,500,10,,4.01528,,3.98176
